ticket_id,user_id,created_at,topic,priority,resolution_hours,csat
T000397,U002988,2026-02-21 13:28:00,payment,high,17.33,3.0
T000398,U003008,2026-03-14 10:48:00,technical_issue,low,5.88,4.0
T000399,U003010,2026-07-03 08:37:00,course_content,low,7.71,4.0
T000400,U003010,2026-07-07 16:17:00,payment,medium,30.18,4.0
T000401,U003012,2026-05-07 15:32:00,course_content,high,40.1,5.0
T000402,U003023,2026-06-01 16:28:00,payment,medium,11.68,3.0
T000403,U003026,2026-04-12 12:42:00,course_content,medium,3.86,4.0
T000404,U003032,2026-07-02 20:27:00,account,high,33.93,4.0
T000405,U003038,2026-04-02 11:27:00,account,medium,26.54,4.0
T000406,U003042,2026-02-21 13:16:00,payment,medium,5.04,4.0
T000407,U003043,2026-04-16 14:38:00,course_content,low,22.87,4.0
T000408,U003090,2026-02-02 19:11:00,refund,low,17.15,3.0
T000409,U003102,2026-03-30 21:06:00,refund,low,17.1,4.0
T000410,U003117,2026-06-27 19:43:00,payment,medium,12.62,4.0
T000411,U003124,2026-06-21 16:59:00,course_content,medium,13.7,2.0
T000412,U003125,2026-06-22 08:31:00,refund,low,15.64,4.0
T000413,U003127,2026-03-30 08:12:00,course_content,medium,10.25,5.0
T000414,U003129,2026-04-14 20:56:00,payment,medium,20.78,4.0
T000415,U003134,2026-02-04 17:35:00,course_content,low,6.04,5.0
T000416,U003136,2026-03-28 14:22:00,course_content,medium,1.0,4.0
T000417,U003137,2026-05-07 18:20:00,payment,low,8.03,4.0
T000418,U003147,2026-06-02 13:30:00,course_content,low,14.8,4.0
T000419,U003148,2026-04-01 12:54:00,payment,low,16.77,3.0
T000420,U003153,2026-06-14 21:27:00,payment,low,7.04,4.0
T000421,U003154,2026-06-09 10:43:00,payment,high,22.48,4.0
T000422,U003163,2026-04-22 19:18:00,course_content,medium,4.37,5.0
T000423,U003175,2026-07-12 19:05:00,course_content,high,50.19,4.0
T000424,U003176,2026-06-19 16:39:00,payment,low,26.49,5.0
T000425,U003178,2026-01-28 16:11:00,technical_issue,medium,70.47,5.0
T000426,U003187,2026-03-16 17:38:00,account,medium,5.4,3.0
T000427,U003187,2026-03-07 13:35:00,payment,medium,13.18,3.0
T000428,U003192,2026-02-13 18:51:00,payment,medium,15.14,5.0
T000429,U003196,2026-03-22 22:49:00,account,high,30.85,5.0
T000430,U003198,2026-05-11 09:59:00,payment,low,20.56,5.0
T000431,U003202,2026-05-25 20:02:00,course_content,medium,2.91,5.0
T000432,U003221,2026-01-28 17:02:00,account,medium,29.13,4.0
T000433,U003247,2026-04-16 08:51:00,refund,high,39.73,4.0
T000434,U003266,2026-02-14 16:52:00,payment,low,18.54,4.0
T000435,U003280,2026-02-24 22:39:00,payment,medium,53.9,4.0
T000436,U003280,2026-01-27 15:44:00,course_content,low,16.13,4.0
T000437,U003300,2026-07-05 10:01:00,account,high,8.88,5.0
T000438,U003305,2026-03-22 22:39:00,course_content,medium,19.76,4.0
T000439,U003310,2026-02-15 17:48:00,technical_issue,low,17.24,4.0
T000440,U003311,2026-06-09 22:47:00,course_content,low,13.72,5.0
T000441,U003321,2026-05-05 20:59:00,payment,low,13.13,5.0
T000442,U003331,2026-04-20 10:12:00,payment,low,3.93,5.0
T000443,U003338,2026-01-15 20:15:00,course_content,medium,13.81,5.0
T000444,U003346,2026-06-22 22:29:00,course_content,high,9.77,5.0
T000445,U003348,2026-02-04 21:16:00,technical_issue,low,13.95,5.0
T000446,U003351,2026-05-26 09:18:00,account,low,7.16,4.0
T000447,U003360,2026-04-16 17:02:00,refund,medium,7.18,5.0
T000448,U003368,2026-04-20 21:58:00,payment,medium,11.05,3.0
T000449,U003374,2026-06-22 16:11:00,payment,high,27.94,3.0
T000450,U003374,2026-06-12 19:03:00,payment,low,4.93,3.0
T000451,U003410,2026-05-31 12:37:00,payment,medium,3.5,5.0
T000452,U003411,2026-03-31 14:14:00,account,low,10.47,5.0
T000453,U003412,2026-05-17 12:50:00,refund,medium,25.08,3.0
T000454,U003424,2026-01-27 14:24:00,course_content,medium,13.87,3.0
T000455,U003434,2026-01-08 20:01:00,account,medium,14.04,5.0
T000456,U003450,2026-01-14 11:50:00,technical_issue,low,23.12,3.0
T000457,U003453,2026-03-04 11:55:00,technical_issue,medium,17.97,3.0
T000458,U003461,2026-05-27 10:52:00,account,low,4.23,5.0
T000459,U003464,2026-05-22 14:42:00,payment,medium,16.2,3.0
T000460,U003465,2026-05-11 13:54:00,payment,low,19.94,4.0
T000461,U003474,2026-02-12 18:37:00,course_content,medium,4.38,5.0
T000462,U003475,2026-06-27 11:36:00,payment,medium,13.62,3.0
T000463,U003476,2026-05-25 15:37:00,payment,low,4.43,5.0
T000464,U003490,2026-04-27 21:31:00,course_content,medium,8.62,3.0
T000465,U003504,2026-01-29 13:10:00,technical_issue,low,19.44,4.0
T000466,U003516,2026-04-28 20:47:00,payment,high,44.99,5.0
T000467,U003522,2026-04-02 15:15:00,refund,low,54.2,5.0
T000468,U003529,2026-02-12 18:18:00,payment,low,12.11,5.0
T000469,U003540,2026-03-01 11:27:00,technical_issue,low,17.86,3.0
T000470,U003547,2026-06-25 12:00:00,refund,medium,20.75,5.0
T000471,U003547,2026-07-09 17:37:00,refund,low,23.26,5.0
T000472,U003554,2026-02-02 11:27:00,payment,medium,20.77,4.0
T000473,U003566,2026-03-05 09:00:00,technical_issue,medium,14.86,4.0
T000474,U003584,2026-01-30 10:24:00,account,medium,32.25,4.0
T000475,U003584,2026-02-06 19:26:00,technical_issue,low,8.14,4.0
T000476,U003585,2026-03-22 22:53:00,payment,medium,7.13,4.0
T000477,U003588,2026-07-05 11:31:00,technical_issue,medium,18.77,5.0
T000478,U003596,2026-02-04 18:53:00,account,medium,6.48,4.0
T000479,U003606,2026-05-29 14:10:00,payment,high,23.4,3.0
T000480,U003623,2026-07-08 11:00:00,course_content,medium,15.28,4.0
T000481,U003646,2026-06-09 08:37:00,technical_issue,low,30.28,3.0
T000482,U003714,2026-03-08 15:58:00,course_content,low,15.85,3.0
T000483,U003714,2026-03-10 10:28:00,account,medium,14.06,3.0
T000484,U003714,2026-03-10 13:36:00,technical_issue,medium,25.11,3.0
T000485,U003723,2026-06-18 12:29:00,technical_issue,medium,22.05,5.0
T000486,U003728,2026-07-22 10:38:00,payment,low,9.87,3.0
T000487,U003733,2026-03-16 09:16:00,technical_issue,medium,11.12,4.0
T000488,U003747,2026-06-01 19:23:00,technical_issue,medium,14.58,4.0
T000489,U003750,2026-04-25 18:23:00,refund,low,17.84,4.0
T000490,U003767,2026-03-24 20:32:00,course_content,low,16.66,3.0
T000491,U003771,2026-06-07 14:53:00,account,medium,28.53,4.0
T000492,U003772,2026-05-16 18:03:00,technical_issue,medium,13.73,4.0
T000493,U003777,2026-06-01 08:03:00,technical_issue,high,24.25,4.0
T000494,U003785,2026-02-14 22:52:00,account,low,5.81,4.0
T000495,U003787,2026-03-25 17:17:00,course_content,medium,28.28,4.0
T000496,U003810,2026-05-12 10:57:00,account,medium,18.01,5.0
T000497,U003811,2026-03-29 16:50:00,payment,low,22.63,4.0
T000498,U003816,2026-06-13 16:54:00,course_content,medium,8.8,3.0
T000499,U003831,2026-06-06 14:52:00,payment,high,22.01,5.0
T000500,U003831,2026-06-12 19:04:00,refund,medium,32.46,5.0
T000501,U003837,2026-03-25 16:06:00,course_content,medium,11.68,5.0
T000502,U003838,2026-07-15 08:46:00,refund,low,25.15,4.0
T000503,U003846,2026-06-02 18:24:00,technical_issue,low,4.94,3.0
T000504,U003857,2026-04-24 09:45:00,account,medium,5.01,4.0
T000505,U003865,2026-02-28 10:11:00,payment,medium,16.67,5.0
T000506,U003867,2026-05-11 14:40:00,course_content,medium,27.58,4.0
T000507,U003869,2026-03-08 09:37:00,technical_issue,medium,39.25,4.0
T000508,U003871,2026-02-21 16:38:00,account,medium,25.6,4.0
T000509,U003907,2026-05-09 17:12:00,course_content,medium,13.05,4.0
T000510,U003927,2026-05-05 10:56:00,technical_issue,medium,19.52,4.0
T000511,U003941,2026-01-16 18:32:00,payment,medium,10.96,3.0
T000512,U003953,2026-04-28 14:09:00,account,medium,26.69,2.0
T000513,U003963,2026-05-01 11:35:00,payment,high,24.68,4.0
T000514,U003970,2026-02-24 13:33:00,payment,high,21.61,5.0
T000515,U003971,2026-07-01 16:29:00,payment,medium,12.1,5.0
T000516,U003980,2026-04-14 16:50:00,payment,low,10.62,4.0
T000517,U003985,2026-04-11 14:11:00,refund,medium,16.33,4.0
T000518,U003989,2026-04-22 16:30:00,course_content,low,22.68,5.0
T000519,U004007,2026-04-12 16:53:00,technical_issue,low,5.98,4.0
T000520,U004011,2026-04-13 18:42:00,course_content,medium,15.01,5.0
T000521,U004018,2026-03-07 19:11:00,account,low,21.25,5.0
T000522,U004054,2026-02-23 17:48:00,payment,medium,4.59,5.0
T000523,U004096,2026-02-28 20:36:00,payment,medium,7.36,5.0
T000524,U004096,2026-03-24 14:49:00,course_content,high,24.34,5.0
T000525,U004108,2026-07-08 08:09:00,technical_issue,low,7.37,5.0
T000526,U004111,2026-07-07 18:59:00,payment,medium,10.62,5.0
T000527,U004113,2026-01-26 21:13:00,course_content,low,7.68,4.0
T000528,U004126,2026-02-11 13:19:00,technical_issue,medium,35.03,3.0
T000529,U004131,2026-01-25 16:13:00,payment,medium,8.79,4.0
T000530,U004144,2026-02-15 15:29:00,course_content,medium,14.39,5.0
T000531,U004154,2026-05-23 18:25:00,refund,high,46.82,5.0
T000532,U004158,2026-06-06 17:16:00,course_content,high,22.0,5.0
T000533,U004160,2026-03-22 22:15:00,technical_issue,medium,7.2,3.0
T000534,U004172,2026-02-20 12:29:00,account,medium,27.84,5.0
T000535,U004182,2026-01-21 12:34:00,technical_issue,low,3.54,4.0
T000536,U004198,2026-05-06 11:13:00,technical_issue,low,10.68,3.0
T000537,U004205,2026-05-03 18:40:00,account,low,7.61,4.0
T000538,U004217,2026-05-05 21:59:00,course_content,medium,15.62,4.0
T000539,U004226,2026-02-19 17:11:00,account,low,7.49,5.0
T000540,U004229,2026-04-18 22:28:00,payment,low,11.99,3.0
T000541,U004241,2026-04-02 21:22:00,technical_issue,low,24.66,2.0
T000542,U004256,2026-01-15 22:30:00,refund,low,51.96,4.0
T000543,U004263,2026-02-27 15:40:00,payment,low,47.13,4.0
T000544,U004272,2026-02-02 09:40:00,account,medium,6.13,4.0
T000545,U004273,2026-02-26 22:28:00,refund,low,9.97,3.0
T000546,U004280,2026-07-04 08:31:00,refund,medium,17.53,4.0
T000547,U004289,2026-04-19 22:52:00,refund,medium,20.7,4.0
T000548,U004289,2026-05-03 16:34:00,course_content,low,29.52,4.0
T000549,U004289,2026-05-08 14:23:00,technical_issue,high,8.78,4.0
T000550,U004289,2026-04-29 16:59:00,course_content,high,12.3,4.0
T000551,U004313,2026-07-24 18:40:00,course_content,low,7.02,5.0
T000552,U004323,2026-04-04 15:15:00,course_content,low,12.84,5.0
T000553,U004327,2026-01-31 11:51:00,technical_issue,low,8.49,3.0
T000554,U004336,2026-02-16 12:17:00,course_content,low,10.96,4.0
T000555,U004366,2026-02-19 09:37:00,technical_issue,high,7.62,5.0
T000556,U004385,2026-05-03 15:27:00,technical_issue,medium,20.89,5.0
T000557,U004394,2026-05-03 21:12:00,course_content,medium,31.87,5.0
T000558,U004399,2026-04-29 20:20:00,refund,low,36.79,4.0
T000559,U004400,2026-01-30 09:29:00,course_content,medium,3.5,4.0
T000560,U004410,2026-06-11 13:41:00,course_content,low,19.61,4.0
T000561,U004419,2026-06-10 20:39:00,payment,medium,6.23,4.0
T000562,U004426,2026-04-17 11:04:00,refund,medium,7.42,4.0
T000563,U004436,2026-03-15 20:18:00,payment,medium,9.59,4.0
T000564,U004456,2026-06-11 18:13:00,course_content,medium,17.17,4.0
T000565,U004457,2026-05-09 21:20:00,technical_issue,high,34.49,4.0
T000566,U004458,2026-04-20 22:58:00,course_content,high,31.08,4.0
T000567,U004458,2026-03-26 08:12:00,technical_issue,medium,9.39,4.0
T000568,U004468,2026-06-06 20:51:00,account,medium,8.87,4.0
T000569,U004476,2026-04-08 12:32:00,refund,low,26.75,4.0
T000570,U004478,2026-04-04 10:23:00,course_content,medium,27.98,4.0
T000571,U004484,2026-06-27 16:39:00,technical_issue,medium,13.5,4.0
T000572,U004488,2026-03-12 13:35:00,technical_issue,low,9.0,5.0
T000573,U004493,2026-05-28 20:55:00,refund,low,13.51,3.0
T000574,U004500,2026-03-21 12:23:00,payment,low,16.58,5.0
T000575,U004500,2026-03-11 08:02:00,payment,low,16.47,5.0
T000576,U004502,2026-06-28 19:57:00,course_content,medium,9.94,4.0
T000577,U004510,2026-05-08 10:06:00,technical_issue,low,14.48,4.0
T000578,U004510,2026-05-29 22:23:00,course_content,medium,8.67,4.0
T000579,U004531,2026-06-20 19:25:00,technical_issue,medium,17.93,4.0
T000580,U004543,2026-03-16 15:48:00,payment,medium,38.31,4.0
T000581,U004543,2026-03-05 08:45:00,technical_issue,low,7.43,4.0
T000582,U004550,2026-03-08 12:40:00,course_content,medium,6.92,4.0
T000583,U004594,2026-02-15 19:26:00,technical_issue,low,8.03,3.0
T000584,U004602,2026-06-19 12:04:00,account,high,19.67,4.0
T000585,U004609,2026-03-03 19:57:00,payment,medium,6.92,4.0
T000586,U004610,2026-05-20 14:00:00,payment,low,13.22,5.0
T000587,U004626,2026-04-27 21:00:00,account,low,17.55,4.0
T000588,U004629,2026-02-05 18:45:00,account,medium,10.17,2.0
T000589,U004631,2026-07-03 14:06:00,refund,low,32.95,4.0
T000590,U004651,2026-04-28 16:34:00,course_content,medium,13.67,5.0
T000591,U004667,2026-04-10 10:44:00,payment,low,7.95,5.0
T000592,U004671,2026-03-16 12:16:00,payment,medium,9.22,4.0
T000593,U004672,2026-01-29 12:30:00,account,low,9.61,4.0
T000594,U004673,2026-04-03 13:23:00,payment,medium,14.55,4.0
T000595,U004685,2026-03-28 18:49:00,technical_issue,low,21.45,5.0
T000596,U004687,2026-06-23 10:54:00,payment,low,13.26,4.0
T000597,U004692,2026-03-06 21:19:00,course_content,low,25.46,4.0
T000598,U004692,2026-03-13 09:09:00,payment,medium,9.64,4.0
T000599,U004701,2026-03-31 17:19:00,account,medium,60.58,4.0
T000600,U004704,2026-07-01 16:00:00,technical_issue,low,14.35,3.0
T000601,U004716,2026-05-28 20:15:00,course_content,high,11.1,5.0
T000602,U004725,2026-06-02 12:56:00,course_content,medium,1.77,5.0
T000603,U004738,2026-06-30 21:14:00,refund,low,9.75,5.0
T000604,U004747,2026-03-06 08:45:00,refund,medium,28.16,4.0
T000605,U004778,2026-02-01 08:06:00,technical_issue,medium,12.42,4.0
T000606,U004781,2026-05-06 22:50:00,refund,medium,18.4,4.0
T000607,U004790,2026-05-18 10:04:00,technical_issue,medium,16.88,4.0
T000608,U004811,2026-06-19 20:07:00,payment,high,24.54,3.0
T000609,U004824,2026-03-16 09:47:00,course_content,low,11.21,4.0
T000610,U004824,2026-03-24 21:59:00,account,medium,6.34,4.0
T000611,U004824,2026-03-14 20:26:00,course_content,medium,25.97,4.0
T000612,U004824,2026-03-06 18:34:00,payment,medium,29.67,4.0
T000613,U004825,2026-02-01 14:32:00,course_content,medium,8.33,4.0
T000614,U004841,2026-05-05 12:25:00,course_content,low,9.93,4.0
T000615,U004842,2026-02-20 16:53:00,course_content,medium,21.37,4.0
T000616,U004847,2026-02-20 09:22:00,course_content,medium,7.2,4.0
T000617,U004849,2026-01-30 11:36:00,payment,high,37.68,3.0
T000618,U004850,2026-01-14 22:04:00,course_content,high,23.42,3.0
T000619,U004863,2026-03-10 15:35:00,course_content,medium,8.88,3.0
T000620,U004871,2026-04-04 21:41:00,account,low,20.65,3.0
T000621,U004874,2026-04-10 10:33:00,payment,low,17.46,4.0
T000622,U004874,2026-04-06 09:35:00,refund,medium,11.09,4.0
T000623,U004874,2026-04-26 17:39:00,course_content,medium,7.77,4.0
T000624,U004890,2026-04-12 20:30:00,payment,medium,6.1,2.0
T000625,U004890,2026-03-25 12:38:00,account,medium,2.27,2.0
T000626,U004901,2026-03-12 18:28:00,course_content,low,5.96,5.0
T000627,U004902,2026-02-20 09:12:00,refund,high,30.16,4.0
T000628,U004910,2026-04-28 14:45:00,payment,medium,8.06,4.0
T000629,U004924,2026-03-31 11:55:00,course_content,low,10.16,5.0
T000630,U004924,2026-03-06 10:45:00,course_content,medium,9.01,5.0
T000631,U004966,2026-06-24 19:33:00,technical_issue,medium,32.42,5.0
T000632,U004966,2026-07-02 14:42:00,payment,low,22.64,5.0
T000633,U004989,2026-05-17 14:30:00,account,low,5.48,3.0
T000634,U004989,2026-05-04 20:16:00,course_content,low,2.91,3.0
T000635,U004990,2026-03-12 12:05:00,course_content,high,12.63,3.0
T000636,U004998,2026-01-22 17:37:00,course_content,low,14.5,4.0
T000637,U004999,2026-05-23 16:35:00,technical_issue,medium,20.53,5.0
T000638,U005001,2026-05-24 08:57:00,refund,low,16.33,4.0
T000639,U005001,2026-05-01 11:24:00,account,low,9.27,4.0
T000640,U005001,2026-04-30 19:22:00,payment,low,3.11,4.0
T000641,U005006,2026-06-02 12:06:00,payment,low,12.06,3.0
T000642,U005017,2026-06-18 21:40:00,refund,medium,40.51,5.0
T000643,U005017,2026-06-05 10:14:00,technical_issue,high,35.86,5.0
T000644,U005031,2026-05-06 21:02:00,technical_issue,medium,16.12,3.0
T000645,U005055,2026-02-12 09:50:00,account,low,15.38,4.0
T000646,U005071,2026-05-01 10:57:00,account,low,12.76,5.0
T000647,U005071,2026-04-24 09:43:00,payment,medium,15.03,5.0
T000648,U005077,2026-03-26 19:47:00,technical_issue,high,10.23,4.0
T000649,U005084,2026-05-07 20:22:00,payment,low,14.51,5.0
T000650,U005089,2026-07-07 08:20:00,refund,low,21.23,4.0
T000651,U005099,2026-04-19 15:03:00,refund,low,12.82,5.0
T000652,U005114,2026-03-28 08:58:00,technical_issue,high,24.23,4.0
T000653,U005115,2026-05-26 20:58:00,technical_issue,low,4.44,5.0
T000654,U005120,2026-04-22 11:32:00,payment,low,17.17,4.0
T000655,U005122,2026-03-06 13:45:00,payment,medium,6.91,4.0
T000656,U005129,2026-05-09 17:36:00,payment,high,17.86,4.0
T000657,U005129,2026-04-30 11:00:00,course_content,low,22.01,4.0
T000658,U005150,2026-06-21 20:53:00,course_content,low,6.7,4.0
T000659,U005150,2026-06-29 14:27:00,refund,low,31.67,4.0
T000660,U005158,2026-03-14 15:45:00,technical_issue,medium,21.89,5.0
T000661,U005162,2026-06-28 14:05:00,account,low,19.28,5.0
T000662,U005189,2026-06-22 15:56:00,refund,medium,17.12,5.0
